Independent Variables
"6,136402.24,65.58,1,13"
"4,136057.51,65.41,1,12"
"15,135963.35,65.37,1,20"
"8,135746.63,65.26,1,1"
"15,135217.08,65.01,1,11"
"2,134607.03,64.71,1,12"
"12,134544.46,64.68,1,12"
"3,134507.27,64.67,1,5"
"5,134411.35,64.62,1,16"
"2,134281,64.56,1,2"
"17,133604.42,64.23,1,10"
"10,133592.64,64.23,1,7"
"10,133592,64.23,1,12"
"2,133575.3,64.22,1,17"
"14,132534.62,63.72,1,19"
"3,132294.32,63.6,1,18"
"6,132211.75,63.56,1,11"
"2,131773.85,63.35,1,18"
"2,131773.85,63.35,1,3"
"2,131773.85,63.35,1,9"
"6,131156,63.06,1,6"
"2,129876.24,62.44,1,4"
"8,129684.45,62.35,1,4"
"8,129304.14,62.17,1,20"
"4,128507,61.78,1,18"
"3,127946.41,61.51,1,3"
"2,127831.82,61.46,1,7"
"1,127748.02,61.42,1,2"
"12,127308,61.21,1,19"
"6,127236.29,61.17,1,3"
"5,126599.99,60.87,1,11"
"5,125780,60.47,1,20"
"6,104311.77,50.15,1,16"
"14,104224.8,50.11,1,20"
"10,104132.59,50.06,1,3"
"8,104101.41,50.05,1,13"
"6,104017.23,50.01,1,3"
"6,104008.51,50,1,10"
"17,103848.19,38.41,1,10"
"17,103848.19,38.41,1,7"
"17,103848.19,38.41,1,15"
"17,103848.19,38.41,1,10"
"17,103848.19,38.41,1,4"
"17,103848.19,38.41,1,6"
"17,103848.02,38.41,1,5"
"17,103848.02,38.41,1,19"
"17,103848.02,38.41,1,14"
"17,103848.02,38.41,1,3"
"17,103848.02,38.41,1,1"
"13,103824,49.92,1,20"
"6,103815.26,49.91,1,18"
"10,103766.25,49.89,1,14"
"12,103574.33,49.8,1,9"
"6,103348,49.69,1,5"
"6,103306.36,49.67,1,4"
"6,103306.36,49.67,1,2"
"6,103306.36,49.67,1,5"
"6,103306.36,49.67,1,11"
"6,103306.36,49.67,1,2"
"3,103222.46,49.63,1,16"
"15,103189.79,49.61,1,10"
"6,103072.56,49.55,1,20"
"6,103004.88,49.52,1,1"
"4,102976.83,49.51,1,14"
"6,102804.87,49.43,1,16"
"15,102483.65,49.27,1,14"
"6,102324.42,49.19,1,15"
"3,102232,49.15,1,16"
"6,101977.68,49.03,1,5"
"2,101966.91,49.02,1,12"
"14,101933.56,49.01,1,19"
"10,101790.38,48.94,1,13"
"6,101779.66,48.93,1,13"
"6,101766.88,48.93,1,20"
"15,101690.24,48.89,1,19"
"8,101660.04,48.88,1,7"
"17,101642.79,37.59,1,9"
"17,101642.79,37.59,1,7"
"17,101642.79,37.59,1,12"
"6,101640,48.87,1,17"
"5,101636.41,48.86,1,12"
"6,101482.43,48.79,1,3"
"3,116688.38,56.1,1,15"
"6,116603.36,56.06,1,11"
"6,116405.87,55.96,1,15"
"8,116283.66,55.91,1,16"
"5,116266.21,55.9,1,19"
"3,116232.78,55.88,1,7"
"6,116027.03,55.78,1,12"
"10,116000,55.77,1,11"
"5,115956.89,55.75,1,14"
"17,115946.82,55.74,1,7"
"5,115894.84,55.72,1,7"
"10,115883.5,55.71,1,12"
"10,115883,55.71,1,12"
"15,115847.4,55.7,1,11"
"15,115800,55.67,1,15"
"4,115281.85,55.42,1,13"
"1,114719,55.15,1,2"
"10,114394.81,55,1,13"
"14,114000,54.81,1,4"
"14,114000,54.81,1,17"
"11,113798.88,54.71,1,6"
"9,113791.83,54.71,1,17"
"12,113559.3,54.6,1,1"
"5,113533.97,54.58,1,12"
"10,113210.69,54.43,1,1"
"5,113000,54.33,1,4"
"1,112967.18,54.31,1,3"
"3,112715.32,54.19,1,18"
"5,112378.5,54.03,1,16"
"5,112130.93,53.91,1,1"
"6,111729.18,53.72,1,5"
"6,111182.24,53.45,1,17"
"6,111182.24,53.45,1,5"
"12,110870.23,53.3,1,10"
"2,110834,53.29,1,8"
"6,110834,53.29,1,5"
"2,110834,53.29,1,3"
"10,110571.75,53.16,1,10"
"5,110315.58,53.04,1,8"
"5,110000,52.88,1,11"
"12,110000,52.88,1,11"
"5,109892.41,52.83,1,2"
"5,109773.97,52.78,1,14"
"5,109643.55,52.71,1,20"
"15,109458.86,52.62,1,17"
"15,109274.49,52.54,1,12"
"17,109040.49,52.42,1,19"
"17,109040.49,52.42,1,17"
"5,108941.78,52.38,1,12"
"14,108924.5,52.37,1,8"
"6,99289.27,47.74,1,16"
"14,99228.61,47.71,1,10"
"5,99212.91,47.7,1,1"
"10,99184.52,47.68,1,12"
"15,99160.86,47.67,1,19"
"4,99100.91,47.64,1,4"
"4,99097.85,47.64,1,1"
"6,99096.47,47.64,1,8"
"6,99096.47,47.64,1,14"
"6,99044.71,47.62,1,14"
"6,99000,47.6,1,14"
"10,98997.29,47.59,1,13"
"6,98946.21,47.57,1,14"
"3,98893,47.54,1,7"
"10,98866.3,47.53,1,16"
"6,98809.61,47.5,1,17"
"6,98809.61,47.5,1,18"
"6,98809.61,47.5,1,10"
"5,98800,47.5,1,6"
"6,98566.24,47.39,1,20"
"14,98564.78,47.39,1,20"
"14,98365,47.29,1,10"
"11,98320.87,47.27,1,12"
"6,98296.8,47.26,1,7"
"6,98234.02,47.23,1,12"
"4,98093.97,47.16,1,12"
"4,98000,47.12,1,14"
"4,98000,47.12,1,18"
"6,97891.89,47.06,1,15"
"6,97852.62,47.04,1,6"
"6,97821.94,47.03,1,9"
"6,97821.94,47.03,1,18"
"10,97800,47.02,1,2"
"6,97662.62,46.95,1,17"
"5,97477.51,46.86,1,19"
"4,97470,46.86,1,15"
"5,97423.72,46.84,1,8"
"5,97393.92,46.82,1,11"
"15,97331.58,46.79,1,9"
"7,97277.66,46.77,1,17"
"6,97191.17,46.73,1,11"
"6,97174.45,46.72,1,8"
"4,97155,46.71,1,1"
"5,97137.24,46.7,1,11"
"3,97061.03,46.66,1,7"
"17,97031.84,35.88,1,8"
"17,97031.84,35.88,1,10"
"17,97031.84,35.88,1,6"
"17,97031.84,35.88,1,2"
"17,97031.84,35.88,1,4"
"5,125780,60.47,1,12"
"5,125354.74,60.27,1,11"
"9,125171,60.18,1,14"
"5,124960.82,60.08,1,8"
"5,124954.64,60.07,1,15"
"12,124727.31,59.97,1,13"
"10,124540.57,59.88,1,5"
"8,124080,59.65,1,14"
"5,123514.85,59.38,1,7"
"11,122893.1,59.08,1,2"
"10,122871,59.07,1,10"
"7,122768,59.02,1,12"
"12,122402.56,58.85,1,14"
"5,122067.64,58.69,1,6"
"10,121927.69,58.62,1,15"
"10,121577,58.45,1,8"
"13,121280.19,58.31,1,15"
"14,121121.47,58.23,1,11"
"10,120936.02,58.14,1,13"
"6,120471.56,57.92,1,3"
"16,120312.38,57.84,1,20"
"3,120125.7,57.75,1,14"
"6,120101.46,57.74,1,4"
"6,120059.66,57.72,1,7"
"17,119944.94,57.67,1,10"
"17,119944.94,57.67,1,11"
"17,119944.94,57.67,1,14"
"17,119944.94,57.67,1,10"
"17,119944.94,57.67,1,9"
"7,119748.9,57.57,1,7"
"7,119748.9,57.57,1,7"
"17,119592.51,57.5,1,15"
"15,119503.97,57.45,1,8"
"5,119482.72,57.44,1,5"
"5,119092.31,57.26,1,10"
"6,118621.78,57.03,1,13"
"15,118357.83,56.9,1,8"
"6,118336.67,56.89,1,6"
"16,118220.75,56.84,1,10"
"14,118034.31,56.75,1,17"
"14,118000,56.73,1,12"
"5,117987.28,56.72,1,4"
"11,117930.47,56.7,1,13"
"5,117836.25,56.65,1,4"
"6,117547.15,56.51,1,15"
